Availability,VariableName,VariableCode,Unit,Observations,Sites,MeanObsPerSite,FirstRecordUTC,LastRecordUTC
<button type='button' id='MLW_B'>view</button>,Moss: Liverwort: Boron,MLW_B,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_C'>view</button>,Moss: Liverwort: Carbon,MLW_C,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Ca'>view</button>,Moss: Liverwort: Calcium,MLW_Ca,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Cu'>view</button>,Moss: Liverwort: Copper,MLW_Cu,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Fe'>view</button>,Moss: Liverwort: Iron,MLW_Fe,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_K'>view</button>,Moss: Liverwort: Potassium,MLW_K,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Mg'>view</button>,Moss: Liverwort: Magnesium,MLW_Mg,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Mn'>view</button>,Moss: Liverwort: Manganese,MLW_Mn,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_N'>view</button>,Moss: Liverwort: Nitrogen,MLW_N,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Na'>view</button>,Moss: Liverwort: Sodium,MLW_Na,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_P'>view</button>,Moss: Liverwort: Phosphorus,MLW_P,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_S'>view</button>,Moss: Liverwort: Sulfur,MLW_S,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='MLW_Zn'>view</button>,Moss: Liverwort: Zinc,MLW_Zn,%,2,2,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='Mn'>view</button>,Manganese,Mn,mg/L,106518,45,2367,2009-06-18T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='MS_Al'>view</button>,Moss: Schistidium: Aluminum,MS_Al,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_B'>view</button>,Moss: Schistidium: Boron,MS_B,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_C'>view</button>,Moss: Schistidium: Carbon,MS_C,%,30,13,2,1996-08-14T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Ca'>view</button>,Moss: Schistidium: Calcium,MS_Ca,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Cu'>view</button>,Moss: Schistidium: Copper,MS_Cu,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Fe'>view</button>,Moss: Schistidium: Iron,MS_Fe,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_K'>view</button>,Moss: Schistidium: Potassium,MS_K,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MS_Mg'>view</button>,Moss: Schistidium: Magnesium,MS_Mg,%,22,12,2,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
