network,domain,site_code,ws_area_ha,cc_mean_annual_precip,cc_mean_annual_temp,vd_mean_eos,vd_mean_los,va_mean_annual_gpp,va_mean_annual_npp,te_slope_mean,te_elev_mean,te_elev_min,te_elev_max,te_aspect_mean,hd_bfi_mean,lg_nlcd_water,lg_nlcd_ice_snow,lg_nlcd_dev_open,lg_nlcd_dev_low,lg_nlcd_dev_med,lg_nlcd_dev_hi,lg_nlcd_barren,lg_nlcd_forest_dec,lg_nlcd_forest_evr,lg_nlcd_forest_mix,lg_nlcd_shrub_dwr,lg_nlcd_shrub,lg_nlcd_grass,lg_nlcd_sedge,lg_lncd_lichens,lg_nlcd_moss,lg_nlcd_pasture,lg_nlcd_crop,lg_nlcd_wetland_wood,lg_nlcd_wetland_herb,pf_soil_org,pf_soil_sand,pf_soil_silt,pf_soil_clay,pf_soil_ph,pi_soil_thickness,ci_mean_annual_et,pd_geo_Al2O3_mean,pd_geo_CaO_mean,pd_geo_CompressStrength_mean,pd_geo_Fe2O3_mean,pd_geo_HydaulicCond_mean,pd_geo_K2O_mean,pd_geo_MgO_mean,pd_geo_N_mean,pd_geo_Na2O_mean,pd_geo_P2O5_mean,pd_geo_S_mean,pd_geo_SiO2_mean
neon,neon,MART,634.773048931428,2509.509350614468,8.856979945934297,328.5882352941176,NA,NA,NA,17.009405967602593,612.4918940911657,342.4830017089844,944.44122314453125,137.14370588253354,NA,0,0,3.7,2.8,0,0,0,0.3,93,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,BIGC,1090.09223696008,922.1315499396412,11.2274918499635,339,NA,17681.93116685758,9498.601243936251,17.31984473971496,1436.199888749401,1129.679931640625,1847.85400390625,144.69285368420492,56.06,0,0,0,0,0,0,0,0.2,93.2,0.9,0,5.6,0,0,0,0,0,0,0,0,0.98,63.18,19.18,17.63,5.93,0.88,NA,15.65,3.89,152.71,3.8,0.02,3.05,1.78,0.01,3.62,0.17,0.03,65.06
neon,neon,REDB,1671.48265693958,746.1159509360702,7.871171080354065,324.52941176470586,NA,9046.580974137303,4934.716643075981,26.250399150700417,2100.546527885338,1689.4896240234375,2530.156982421875,200.30269763811472,NA,0,0,0.4,0,0,0,0,72.6,9.4,0.4,0,17.3,0,0,0,0,0,0,0,0,1.84,43.13,33.41,23.44,7.24,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,SYCA,28047.5052642295,532.7533752540854,17.317841899104884,232.7058823529412,NA,4487.4391223466355,1060.5673967363275,7.9002359553806425,1278.313885647608,653,2092,193.74834603919726,NA,0,0,0.5,0.2,0,0,0,0,13.3,0,0,74.5,11.3,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,COMO,356.628618646366,1024.5161742662954,0.35539916843779096,337.29411764705884,NA,NA,NA,10.40500251355571,3282.2348201133686,3020.12451171875,3516.271240234375,160.1517630623789,NA,0,0,0,0,0,0,0,0,66.3,0,0,21.1,12.2,0,0,0,0,0,0.4,0,1.99,61.19,29.46,9.35,5.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,BLDE,3783.90054300874,860.3488253917982,1.279835522443371,332.4117647058824,NA,3558.297737873789,1923.9201682444161,8.79526025019744,2400.765163719947,2024,2942,199.9813466486345,77.3,0,0,0,0,0,0,0,0,1.1,0,0,92.7,3.7,0,0,0,0,0,0.6,1.9,2.81,55.35,26.04,18.62,6.29,2.46,NA,13.74,3.2,28.83,10.41,4.3,2.22,2.72,0.15,2.08,0.2,0.03,56.97
neon,neon,PRIN,4891.13869463183,895.1726495962473,17.230175506232925,304.1764705882353,NA,9018.641964351415,3618.599868233524,1.828372297203607,296.4532982978229,255,339,181.3460180748196,NA,0.1,0,3.1,1.1,0.1,0,0,16.6,0,0,0,0.9,71.6,0,0,0,6,0.3,0,0,0.41,51.99,17.99,30.02,6.28,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,MCRA,393.221740962357,2233.679250076623,8.308489045745816,324.11764705882354,NA,NA,NA,18.40198597768219,1247.815491465315,876.892822265625,1628.8997802734375,238.86492821384059,NA,0,0,0,0,0,0,0,0,93.3,0,0,6.2,0.5,0,0,0,0,0,0,0,6.93,37.35,45.64,17.01,5.31,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,CARI,3104.73890138158,NA,NA,NA,NA,NA,NA,9.763589982732515,502.688729081177,237,776,181.4297407827086,NA,0,0,0,0,0,0,0,22.1,52.7,15.3,0,2,0,0,0,0,0,0,7.9,0,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neon,neon,OKSR,5781.45676179809,NA,NA,NA,NA,NA,NA,1.3110251343725536,875.2352744310575,773,1103,147.41055452189292,NA,4.6,0,0,0.2,0,0,2.7,0,0,0,66.8,2.3,0,22.6,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
