uniqueID,waterYr,date,timeEST,site,pH,pHmetrohm,DIC,spCond,temp,ANCMet,gageHt,hydroGraph,flowGageHt,precipCatch,fieldCode,notes,datetime,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,theoryCond,ionBalance,ionError,duplicate,sampleType
HBK_20131104_1245,2013,11/4/13,12:45,HBK,6.32,NA,67,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,11/4/13 12:45,0.9036,0.3146,0.3203,1.11,0.035,0.0275,0.0166,0.0079,3.0305,0.2042,0.5467,0.0024,2.9108,0.1273,0.075,1.2346,0.0025,0.0125,0.0642,132.2606,-136.1985,16.325,-3.9379,-0.0293,,Routine
HBK_20131111_1235,2013,11/11/13,12:35,HBK,6.43,NA,63,12.7,2.7,NA,NA,NA,NA,NA,NA,NA,11/11/13 12:35,0.9962,0.333,0.2628,1.1222,0.0294,0.0226,0.0569,0.0032,3.0697,0.1864,0.4283,0.0035,2.3892,0.1402,0.0988,6.9841,0.0025,0.0125,0.0688,136.4698,-134.0814,16.351,2.3885,0.0177,,Routine
HBK_20131118_1225,2013,11/18/13,12:25,HBK,5.79,NA,40,11.7,4.5,NA,NA,NA,NA,NA,NA,NA,11/18/13 12:25,1.0068,0.3198,0.4162,0.8194,0.1097,0.1011,0.2537,0.0106,2.5529,0.7055,0.4143,0.0039,6.7531,0.3068,0.1393,5.5382,0.0203,0.0754,0.0572,137.2473,-128.7611,16.5,8.4862,0.0638,,Routine
HBK_20131125_1145,2013,11/25/13,11:45,HBK,6.42,NA,79,13.8,0.1,NA,NA,NA,NA,NA,NA,NA,11/25/13 11:45,1.1099,0.3689,0.2474,1.1154,0.0265,0.0209,0.0747,0.0032,3.4175,0.3998,0.454,0.0025,2.3094,0.1795,0.0882,7.3851,0.0025,0.0125,0.0542,144.095,-146.0956,17.6916,-2.0006,-0.0138,,Routine
HBK_20131127_1035,2013,11/27/13,10:35,HBK,5.97,NA,50,9.9,0.1,NA,NA,NA,NA,NA,911,NA,11/27/13 10:35,0.7446,0.2473,0.3077,0.709,0.0596,0.0484,0.1421,0.0032,2.2881,0.4544,0.3403,0.0033,3.8188,0.2417,0.1357,4.5336,0.0091,0.0316,0.0426,104.0906,-105.1844,13.0287,-1.0939,-0.0105,,Grab
HBK_20131202_1315,2013,12/2/13,13:15,HBK,6.23,NA,52,11.1,0.1,NA,NA,NA,NA,NA,NA,NA,12/2/13 13:15,0.8095,0.2711,0.2033,0.9821,0.0339,0.0253,0.065,0.0032,2.8037,0.5934,0.3389,0.002,2.0901,0.2325,0.0968,5.7411,0.0025,0.0125,0.0414,115.1582,-113.6506,14.2134,1.5076,0.0132,,Routine
HBK_20131209_1330,2013,12/9/13,13:30,HBK,6.28,NA,58,12.2,0.1,NA,NA,NA,NA,NA,NA,NA,12/9/13 13:30,0.9395,0.3023,0.189,0.9127,0.0319,0.0241,0.0681,0.0075,3.0178,0.5741,0.4012,0.0024,2.1804,0.2387,0.1031,6.0707,0.0025,0.0125,0.0712,120.7804,-123.742,15.1716,-2.9616,-0.0242,,Routine
HBK_20131216_1215,2013,12/16/13,12:15,HBK,6.29,NA,69,10.1,0.1,NA,NA,NA,NA,NA,NA,NA,12/16/13 12:15,1.048,0.3492,0.2154,1.032,0.0259,0.0192,0.0636,0.0032,3.111,0.4662,0.4685,0.0037,1.8476,0.2183,0.1105,6.7788,0.0025,0.0125,0.06,134.9962,-97.2059,14.8489,37.7903,0.3255,,Routine
HBK_20131223_1150,2013,12/23/13,11:50,HBK,6.15,NA,52,10.9,0.1,NA,NA,NA,NA,NA,NA,NA,12/23/13 11:50,0.939,0.306,0.1647,0.781,0.0394,0.0318,0.1222,0.0032,2.686,0.8963,0.4168,0.0035,2.7748,0.2877,0.0806,5.3083,0.0065,0.0344,0.0576,115.4952,-119.3532,14.672,-3.858,-0.0329,,Routine
HBK_20131230_1130,2013,12/30/13,11:30,HBK,6.36,NA,61,12.5,0.2,NA,NA,NA,NA,NA,NA,NA,12/30/13 11:30,0.9989,0.3213,0.1892,0.9332,0.0277,0.0198,0.073,0.0032,3.0121,0.6402,0.3605,0.0039,1.753,0.2297,0.0845,6.2154,0.0025,0.0278,0.0538,125.4165,-125.8462,15.5036,-0.4296,-0.0034,,Routine
HBK_20131230_1130_Dup,2013,12/30/13,11:30,HBK,6.36,NA,61,12.5,0.2,NA,NA,NA,NA,NA,NA,NA,12/30/13 11:30,1.0011,0.3231,0.1864,0.9066,0.0275,0.0198,0.0721,0.0032,2.9592,0.6343,0.3305,0.0034,1.713,0.2013,0.056,6.2157,0.0025,0.0262,0.0463,124.4173,-123.5596,15.2849,0.8577,0.0069,Dup,Routine
HBK_20140107_0950,2013,1/7/14,9:50,HBK,6.48,NA,71,12.3,0.3,NA,NA,NA,NA,NA,NA,NA,1/7/14 9:50,1.0576,0.3408,0.2392,1.0066,0.0254,0.0194,0.062,0.0032,3.1173,0.5965,0.3109,0.0044,1.6971,0.1787,0.045,6.2673,0.0025,0.0279,0.0398,134.0611,-132.1057,16.2588,1.9554,0.0147,,Routine
HBK_20140113_1120,2013,1/13/14,11:20,HBK,5.82,NA,42,10.7,0.1,NA,NA,NA,NA,NA,NA,NA,1/13/14 11:20,0.8639,0.2621,0.1826,0.721,0.0622,0.045,0.1241,0.0032,2.4527,1.0163,0.2775,0.001,2.6562,0.3149,0.0819,4.9665,0.0128,0.0125,0.0324,109.3237,-99.565,13.4981,9.7587,0.0934,,Routine
HBK_20140120_1225,2013,1/20/14,12:25,HBK,6.18,NA,53,11.7,0.2,NA,NA,NA,NA,NA,NA,NA,1/20/14 12:25,0.9178,0.2894,0.1737,0.833,0.0364,0.0272,0.0773,0.0032,2.8533,0.8116,0.3146,0.002,1.947,0.2381,0.0554,5.7805,0.0025,0.0125,0.0435,115.1793,-117.4999,14.5632,-2.3206,-0.0199,,Routine
HBK_20140127_1100,2013,1/27/14,11:00,HBK,6.4,NA,73,13.1,0.1,NA,NA,NA,NA,NA,NA,NA,1/27/14 11:00,1.1198,0.3549,0.2396,1.1104,0.028,0.0186,0.0449,0.0032,3.1611,0.679,0.9777,0.0027,1.7309,0.204,0.0501,6.9507,0.0025,0.0125,0.1752,143.2018,-149.4596,18.2064,-6.2578,-0.0428,,Routine
HBK_20140203_1235,2013,2/3/14,12:35,HBK,6.45,NA,80,13.8,0.2,NA,NA,NA,NA,NA,NA,NA,2/3/14 12:35,1.1259,0.3646,0.2248,1.0048,0.0261,0.0164,0.0332,0.0032,3.252,0.6038,0.3943,0.0025,1.5063,0.1962,0.058,6.9563,0.0025,0.0125,0.0519,139.0782,-142.6438,17.2041,-3.5656,-0.0253,,Routine
HBK_20140210_1100,2013,2/10/14,11:00,HBK,6.54,NA,86,14.4,0.1,NA,NA,NA,NA,NA,NA,NA,2/10/14 11:00,1.2569,0.4166,0.2655,1.1714,0.021,0.0153,0.0272,0.0154,3.2841,0.6494,0.417,0.0033,1.6115,0.2059,0.0473,7.8394,0.0025,0.0125,0.092,158.2242,-151.0946,18.6353,7.1296,0.0461,,Routine
HBK_20140217_1200,2013,2/17/14,12:00,HBK,6.53,NA,87,15.3,0.2,NA,NA,NA,NA,NA,NA,NA,2/17/14 12:00,1.271,0.4306,0.3112,1.3211,0.0197,0.0144,0.0247,0.0103,3.3227,0.6408,0.3711,0.0027,1.5059,0.182,0.0293,8.053,0.0025,0.0125,0.0626,167.3333,-153.8787,19.2562,13.4546,0.0838,,Routine
HBK_20140224_1455,2013,2/24/14,14:55,HBK,6.54,NA,91,15.4,0.6,NA,NA,NA,NA,NA,NA,NA,2/24/14 14:55,1.1884,0.3768,0.2484,1.1257,0.0181,0.011,0.0327,0.0064,3.3398,0.7506,0.3982,0.0025,1.5047,0.2209,0.0464,6.909,0.0025,0.0125,0.063,148.2891,-153.5376,18.2852,-5.2486,-0.0348,,Routine
HBK_20140303_1210,2013,3/3/14,12:10,HBK,6.48,NA,90,15.8,0.1,NA,NA,NA,NA,NA,NA,NA,3/3/14 12:10,1.1893,0.3794,0.2677,1.2046,0.0189,0.0122,0.0345,0.0082,3.4326,0.6495,0.3834,0.0038,1.4551,0.2201,0.067,7.4599,0.0025,0.0125,0.0716,152.6984,-157.0053,18.6942,-4.3069,-0.0278,,Routine
HBK_20140310_1015,2013,3/10/14,10:15,HBK,6.58,NA,94,16.1,0.3,NA,NA,NA,NA,NA,NA,NA,3/10/14 10:15,1.2341,0.4106,0.2781,1.3013,0.0142,0.0076,0.033,0.0098,3.5079,0.6306,0.3674,0.0027,1.4928,0.1852,0.0352,7.5955,0.0025,0.0125,0.0599,161.4698,-164.8914,19.5225,-3.4217,-0.021,,Routine
HBK_20140317_1135,2013,3/17/14,11:35,HBK,6.6,NA,95,15.7,0.3,NA,NA,NA,NA,NA,NA,NA,3/17/14 11:35,1.2724,0.4246,0.2745,1.2192,0.0138,0.0075,0.0351,0.0032,3.3632,0.6257,0.3857,0.0035,1.4876,0.2174,0.0764,7.5622,0.0025,0.0125,0.0682,160.4532,-159.9714,19.1907,0.4818,0.003,,Routine
HBK_20140317_1135_Dup,2013,3/17/14,11:35,HBK,6.6,NA,95,15.7,0.3,NA,NA,NA,NA,NA,NA,NA,3/17/14 11:35,1.2619,0.4219,0.2775,1.2293,0.0131,0.0068,0.0265,0.0079,3.353,0.6128,0.4139,0.0021,1.4582,0.2157,0.0711,7.6259,0.0025,0.0125,0.0813,160.4122,-160.0623,19.1899,0.3499,0.0022,Dup,Routine
HBK_20140324_1220,2013,3/24/14,12:20,HBK,6.55,NA,98,14.1,0.1,NA,NA,NA,NA,NA,NA,NA,3/24/14 12:20,1.254,0.4226,0.2812,1.2904,0.0132,0.007,0.032,0.0032,3.3234,0.5729,0.3714,0.0036,1.455,0.2053,0.0712,7.5179,0.0025,0.0125,0.0729,162.5927,-161.1362,19.2898,1.4565,0.009,,Routine
HBK_20140331_1000,2013,3/31/14,10:00,HBK,6.1,NA,60,12.6,0.1,NA,NA,NA,NA,NA,NA,NA,3/31/14 10:00,1.0747,0.3498,0.3058,0.8962,0.0495,0.0376,0.0886,0.0111,2.7727,1.1495,0.4431,0.001,3.0304,0.3411,0.0728,4.9933,0.008,0.0125,0.0447,136.135,-132.9161,16.694,3.2188,0.0239,,Routine
HBK_20140407_0935,2013,4/7/14,9:35,HBK,6.1,NA,55,11.3,0.9,NA,NA,NA,NA,NA,NA,NA,4/7/14 9:35,0.9259,0.3009,0.2153,0.9883,0.0307,0.0223,0.074,0.0126,2.8374,0.8277,0.3746,0.002,1.966,0.2736,0.0769,5.2416,0.0025,0.0125,0.0421,124.3596,-118.5212,15.1492,5.8384,0.0481,,Routine
HBK_20140408_0930,2013,4/8/14,9:30,HBK,6.01,NA,94,NA,NA,NA,NA,NA,NA,NA,911,NA,4/8/14 9:30,0.87,0.2585,0.2589,0.8041,0.0488,0.0378,0.1117,0.0098,2.2404,0.8659,0.3279,0.0038,2.9617,0.3163,0.1131,4.2653,0.0104,0.0125,0.0373,113.2355,-101.5363,13.4346,11.6992,0.1089,,Grab
