uniqueID,site,date,timeEST,flowSensor,precipETI
STA/22_20140922_0750,STA/22,9/22/14,7:50,,4.1
STA/22_20140929_0700,STA/22,9/29/14,7:00,,0
STA/22_20141006_0800,STA/22,10/6/14,8:00,,18.8
STA/22_20141013_0750,STA/22,10/13/14,7:50,,33.5
STA/22_20141020_0730,STA/22,10/20/14,7:30,,81.3
STA/22_20141027_0730,STA/22,10/27/14,7:30,,17.8
STA/22_20141103_0840,STA/22,11/3/14,8:40,,4.3
STA/22_20141110_0900,STA/22,11/10/14,9:00,,6.1
STA/22_20141118_0830,STA/22,11/18/14,8:30,,24.1
STA/22_20141125_0925,STA/22,11/25/14,9:25,,27.6
STA/22_20141201_0905,STA/22,12/1/14,9:05,,20.8
STA/22_20141208_1400,STA/22,12/8/14,14:00,,41.1
STA/22_20141215_0855,STA/22,12/15/14,8:55,,28.7
STA/22_20141222_0845,STA/22,12/22/14,8:45,,17
STA/22_20141229_0840,STA/22,12/29/14,8:40,,51.1
STA/22_20150105_0850,STA/22,1/5/15,8:50,,26.4
STA/22_20150112_1115,STA/22,1/12/15,11:15,,3
STA/22_20150120_0905,STA/22,1/20/15,9:05,,33.3
STA/22_20150126_0850,STA/22,1/26/15,8:50,,0
STA/22_20150203_0810,STA/22,2/3/15,8:10,,25.9
STA/22_20150210_1120,STA/22,2/10/15,11:20,,16
STA/22_20150217_1100,STA/22,2/17/15,11:00,,7.6
STA/22_20150223_0925,STA/22,2/23/15,9:25,,16
STA/22_20150302_0930,STA/22,3/2/15,9:30,,3.8
STA/22_20150309_0755,STA/22,3/9/15,7:55,,7.1
STA/22_20150316_0730,STA/22,3/16/15,7:30,,10.7
STA/22_20150323_0840,STA/22,3/23/15,8:40,,2
STA/22_20150331_0750,STA/22,3/31/15,7:50,,7.9
STA/22_20150406_0810,STA/22,4/6/15,8:10,,6.1
STA/22_20150413_0815,STA/22,4/13/15,8:15,,22.6
STA/22_20150420_0830,STA/22,4/20/15,8:30,,2.8
STA/22_20150427_0745,STA/22,4/27/15,7:45,,34
STA/22_20150504_0745,STA/22,5/4/15,7:45,,0
STA/22_20150513_1335,STA/22,5/13/15,13:35,,11.7
STA/22_20150518_0850,STA/22,5/18/15,8:50,,0
STA/22_20150526_1335,STA/22,5/26/15,13:35,,17
